(2.0, 36.7, 17.2);(0.727455);(0.1, -5.1, 0.0);(13.0, 1.0, -10.7)
(2.0, 36.6, 17.2);(0.7274934);(0.1, -5.3, 0.0);(13.0, 1.0, -10.7)
(2.0, 36.5, 17.2);(0.7275225);(0.1, -5.4, 0.0);(13.0, 1.0, -10.7)
(2.0, 36.4, 17.2);(0.7275422);(0.1, -5.6, 0.0);(13.0, 1.0, -10.7)
(2.0, 36.3, 17.2);(0.7275525);(0.1, -5.8, 0.0);(13.0, 1.0, -10.7)
(2.0, 36.2, 17.2);(0.7275536);(0.1, -6.0, 0.0);(13.0, 1.0, -10.7)
(2.0, 36.1, 17.2);(0.7275455);(0.1, -6.2, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.9, 17.2);(0.7275282);(0.1, -6.4, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.8, 17.2);(0.7275017);(0.1, -6.5, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.7, 17.2);(0.7274663);(0.1, -6.7, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.5, 17.2);(0.7274219);(0.1, -6.9, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.4, 17.2);(0.7273685);(0.1, -7.1, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.2, 17.2);(0.7273062);(0.1, -7.3, 0.0);(13.0, 1.0, -10.7)
(2.1, 35.1, 17.2);(0.7272352);(0.1, -7.5, 0.0);(13.0, 1.0, -10.7)
(2.1, 34.9, 17.2);(0.7271553);(0.1, -7.6, 0.0);(13.0, 1.0, -10.7)
(2.1, 34.8, 17.2);(0.7270667);(0.1, -7.8, 0.0);(13.0, 1.0, -10.7)
(2.1, 34.6, 17.2);(0.7269694);(0.1, -8.0, 0.0);(13.0, 1.0, -10.7)
(2.1, 34.5, 17.2);(0.7268635);(0.1, -8.2, 0.0);(13.0, 1.0, -10.7)
(2.1, 34.3, 17.2);(0.7267491);(0.1, -8.4, 0.0);(13.0, 1.0, -10.7)
(2.1, 34.1, 17.2);(0.7266262);(0.1, -8.5, 0.0);(13.0, 1.0, -10.7)
(2.1, 33.9, 17.2);(0.7264947);(0.1, -8.7, 0.0);(13.0, 1.0, -10.7)
(2.1, 33.8, 17.2);(0.726355);(0.1, -8.9, 0.0);(13.0, 1.0, -10.7)
(2.1, 33.6, 17.2);(0.7262068);(0.1, -9.1, 0.0);(13.0, 1.0, -10.7)
(2.1, 33.4, 17.2);(0.7260503);(0.1, -9.2, 0.0);(13.0, 1.0, -10.7)
(2.1, 33.2, 17.2);(0.7258857);(0.1, -9.4, 0.0);(13.0, 1.0, -10.7)
(2.1, 33.0, 17.2);(0.7257128);(0.1, -9.6, 0.0);(13.0, 1.0, -10.7)
(2.2, 32.8, 17.2);(0.7255318);(0.1, -9.8, 0.0);(13.0, 1.0, -10.7)
(2.2, 32.6, 17.2);(0.7253428);(0.1, -10.0, 0.0);(13.0, 1.0, -10.7)
(2.2, 32.4, 17.2);(0.7251456);(0.1, -10.1, 0.0);(13.0, 1.0, -10.7)
(2.2, 32.2, 17.2);(0.7249404);(0.1, -10.3, 0.0);(13.0, 1.0, -10.7)
(2.2, 32.0, 17.2);(0.7247274);(0.1, -10.5, 0.0);(13.0, 1.0, -10.7)
(2.2, 31.8, 17.2);(0.7245065);(0.1, -10.7, 0.0);(13.0, 1.0, -10.7)
(2.2, 31.6, 17.2);(0.7242778);(0.1, -10.8, 0.0);(13.0, 1.0, -10.7)
(2.2, 31.4, 17.2);(0.7240412);(0.1, -11.0, 0.0);(13.0, 1.0, -10.7)
(2.2, 31.1, 17.2);(0.7237971);(0.1, -11.2, 0.0);(13.0, 1.0, -10.7)
(2.2, 30.9, 17.2);(0.7235451);(0.1, -11.4, 0.0);(13.0, 1.0, -10.7)
(2.2, 30.7, 17.2);(0.7232856);(0.1, -11.5, 0.0);(13.0, 1.0, -10.7)
(2.2, 30.4, 17.2);(0.7230185);(0.1, -11.7, 0.0);(13.0, 1.0, -10.7)
(2.2, 30.2, 17.2);(0.7227439);(0.1, -11.9, 0.0);(13.0, 1.0, -10.7)
(2.2, 30.0, 17.2);(0.7224618);(0.1, -12.0, 0.0);(13.0, 1.0, -10.7)
(2.2, 29.7, 17.2);(0.7221723);(0.1, -12.2, 0.0);(13.0, 1.0, -10.7)
(2.2, 29.5, 17.2);(0.7218754);(0.1, -12.4, 0.0);(13.0, 1.0, -10.7)
(2.2, 29.2, 17.2);(0.7215713);(0.1, -12.6, 0.0);(13.0, 1.0, -10.7)
(2.2, 29.0, 17.2);(0.7220609);(0.1, -12.7, -0.1);(13.0, 1.0, -10.7)
(2.2, 28.7, 17.2);(0.7225569);(0.1, -12.9, -0.1);(13.0, 1.0, -10.7)
(2.2, 28.5, 17.2);(0.7230475);(0.1, -13.1, -0.1);(13.0, 1.0, -10.7)
(2.3, 28.2, 17.2);(0.724127);(0.0, -13.2, -0.1);(13.0, 1.0, -10.7)
(2.3, 27.9, 17.2);(0.7254974);(0.0, -13.4, -0.1);(13.0, 1.0, -10.7)
(2.3, 27.6, 17.1);(0.7287078);(0.0, -13.6, -0.3);(13.0, 1.0, -10.7)
(2.2, 27.4, 17.1);(0.7348754);(-0.2, -13.8, -0.4);(13.0, 1.0, -10.7)
(2.2, 27.1, 17.1);(0.7435143);(-0.3, -14.0, -0.6);(13.0, 1.0, -10.7)
(2.2, 26.8, 17.1);(0.7544881);(-0.4, -14.1, -0.7);(13.0, 1.0, -10.7)
(2.2, 26.5, 17.0);(0.7685443);(-0.4, -14.3, -1.0);(13.0, 1.0, -10.7)
(2.2, 26.2, 17.0);(0.7852609);(-0.5, -14.4, -1.3);(13.0, 1.0, -10.7)
(2.1, 25.8, 16.9);(0.8052757);(-0.5, -14.5, -1.7);(13.0, 1.0, -10.7)
(2.1, 25.5, 16.9);(0.8271827);(-0.6, -14.7, -1.9);(13.0, 1.0, -10.7)
(2.1, 25.2, 16.8);(0.8506305);(-0.5, -14.6, -2.4);(13.0, 1.0, -10.7)
(2.1, 24.9, 16.7);(0.8743814);(-0.6, -14.7, -2.6);(13.0, 1.0, -10.7)
(2.1, 24.5, 16.6);(0.8988349);(-0.6, -14.7, -3.0);(13.0, 1.0, -10.7)
(2.0, 24.2, 16.4);(0.9220411);(-0.6, -14.7, -3.2);(13.0, 1.0, -10.7)
(2.0, 23.9, 16.3);(0.9433094);(-0.7, -14.5, -3.5);(13.0, 1.0, -10.7)
(2.0, 23.6, 16.1);(0.9622326);(-0.8, -14.4, -3.8);(13.0, 1.0, -10.7)
(2.0, 23.3, 16.0);(0.9778193);(-0.8, -14.2, -4.0);(13.0, 1.0, -10.7)
(1.9, 23.0, 15.8);(0.9888349);(-0.7, -14.1, -4.1);(13.0, 1.0, -10.7)
(1.9, 22.7, 15.7);(0.9955579);(-0.9, -14.0, -4.2);(13.0, 1.0, -10.7)
(1.9, 22.4, 15.5);(0.9974008);(-0.8, -13.9, -4.0);(13.0, 1.0, -10.7)
(1.8, 22.1, 15.3);(0.9951814);(-0.9, -13.9, -4.0);(13.0, 1.0, -10.7)
(1.8, 21.9, 15.2);(0.9897792);(-0.9, -13.8, -3.7);(13.0, 1.0, -10.7)
(1.8, 21.6, 15.1);(0.9820254);(-0.9, -13.8, -3.5);(13.0, 1.0, -10.7)
(1.8, 21.3, 14.9);(0.9724457);(-1.0, -13.9, -3.3);(13.0, 1.0, -10.7)
(1.7, 21.0, 14.8);(0.9616061);(-1.0, -14.0, -3.2);(13.0, 1.0, -10.7)
(1.7, 20.8, 14.7);(0.9500802);(-0.9, -14.0, -3.0);(13.0, 1.0, -10.7)
(1.6, 20.5, 14.6);(0.9385328);(-1.0, -14.1, -2.8);(13.0, 1.0, -10.7)
(1.6, 20.2, 14.5);(0.9270176);(-0.9, -14.2, -2.6);(13.0, 1.0, -10.7)
(1.6, 20.0, 14.4);(0.9164957);(-1.0, -14.2, -2.3);(13.0, 1.0, -10.7)
(1.6, 19.7, 14.4);(0.9072524);(-0.9, -14.3, -2.1);(13.0, 1.0, -10.7)
(1.5, 19.4, 14.3);(0.8986863);(-0.9, -14.5, -2.0);(13.0, 1.0, -10.7)
(1.5, 19.1, 14.3);(0.8928903);(-0.8, -14.5, -1.6);(13.0, 1.0, -10.7)
(1.5, 18.8, 14.2);(0.8905508);(-0.8, -14.6, -1.3);(13.0, 1.0, -10.7)
(1.5, 18.5, 14.2);(0.8912512);(-0.7, -14.6, -0.9);(13.0, 1.0, -10.7)
(1.4, 18.3, 14.2);(0.8956261);(-0.5, -14.6, -0.5);(13.0, 1.0, -10.7)
(1.4, 18.0, 14.2);(0.8984509);(-0.4, -14.3, -0.5);(13.0, 1.0, -10.7)
(1.4, 17.7, 14.2);(0.8995407);(-0.5, -14.2, -0.5);(13.0, 1.0, -10.7)
(1.4, 17.4, 14.2);(0.9017867);(-0.6, -14.0, -0.2);(13.0, 1.0, -10.7)
(1.4, 17.1, 14.2);(0.9050319);(-0.3, -13.8, 0.0);(13.0, 1.0, -10.7)
(1.4, 16.8, 14.2);(0.9072898);(-0.3, -13.6, 0.1);(13.0, 1.0, -10.7)
(1.4, 16.6, 14.3);(0.9099267);(-0.3, -13.5, 0.3);(13.0, 1.0, -10.7)
