(-2.9, 32.0, -16.3);(0.735236);(0.0, -5.2, 0.1);(-4.1, 1.0, 13.7)
(-2.9, 31.9, -16.3);(0.7387109);(0.3, -5.3, 0.4);(-4.1, 1.0, 13.7)
(-2.9, 31.8, -16.3);(0.7448418);(0.7, -5.4, 0.7);(-4.1, 1.0, 13.7)
(-2.8, 31.7, -16.3);(0.7517756);(1.1, -5.3, 0.9);(-4.1, 1.0, 13.7)
(-2.7, 31.6, -16.2);(0.7592633);(1.5, -5.3, 1.1);(-4.1, 1.0, 13.7)
(-2.6, 31.4, -16.2);(0.7650493);(1.8, -5.2, 1.3);(-4.1, 1.0, 13.7)
(-2.5, 31.3, -16.1);(0.7676421);(2.2, -5.1, 1.5);(-4.1, 1.0, 13.7)
(-2.4, 31.2, -16.1);(0.7659114);(2.5, -4.9, 1.7);(-4.1, 1.0, 13.7)
(-2.2, 31.2, -16.0);(0.7573473);(2.8, -4.8, 1.9);(-4.1, 1.0, 13.7)
(-2.1, 31.1, -16.0);(0.7408015);(3.0, -4.6, 2.1);(-4.1, 1.0, 13.7)
(-1.9, 31.0, -15.9);(0.7163678);(3.0, -4.3, 2.4);(-4.1, 1.0, 13.7)
(-1.7, 31.0, -15.8);(0.6858432);(2.7, -4.1, 2.6);(-4.1, 1.0, 13.7)
(-1.6, 31.0, -15.7);(0.6523203);(2.4, -4.1, 2.9);(-4.1, 1.0, 13.7)
(-1.5, 30.9, -15.6);(0.6173732);(2.0, -4.1, 3.1);(-4.1, 1.0, 13.7)
(-1.4, 30.9, -15.5);(0.5827709);(1.6, -4.1, 3.4);(-4.1, 1.0, 13.7)
(-1.3, 30.8, -15.4);(0.5490441);(1.2, -4.2, 3.6);(-4.1, 1.0, 13.7)
(-1.2, 30.8, -15.3);(0.5181047);(0.8, -4.3, 3.9);(-4.1, 1.0, 13.7)
(-1.2, 30.7, -15.1);(0.4892852);(0.4, -4.5, 4.2);(-4.1, 1.0, 13.7)
(-1.1, 30.7, -14.9);(0.4658282);(0.0, -4.8, 4.5);(-4.1, 1.0, 13.7)
(-1.1, 30.6, -14.8);(0.44557);(-0.4, -5.0, 4.8);(-4.1, 1.0, 13.7)
(-1.1, 30.5, -14.6);(0.425597);(-0.7, -5.1, 5.1);(-4.1, 1.0, 13.7)
(-1.1, 30.4, -14.4);(0.4095595);(-1.0, -5.4, 5.3);(-4.1, 1.0, 13.7)
(-1.1, 30.3, -14.2);(0.3960562);(-1.4, -5.7, 5.5);(-4.1, 1.0, 13.7)
(-1.2, 30.2, -13.9);(0.3831778);(-1.6, -6.0, 5.6);(-4.1, 1.0, 13.7)
(-1.2, 30.1, -13.7);(0.3699574);(-1.9, -6.2, 5.7);(-4.1, 1.0, 13.7)
(-1.3, 30.0, -13.5);(0.3547052);(-2.1, -6.3, 5.8);(-4.1, 1.0, 13.7)
(-1.4, 29.9, -13.2);(0.3388421);(-2.3, -6.6, 5.9);(-4.1, 1.0, 13.7)
(-1.5, 29.8, -13.0);(0.3211877);(-2.5, -6.8, 5.9);(-4.1, 1.0, 13.7)
(-1.6, 29.7, -12.8);(0.3019746);(-2.6, -7.0, 5.9);(-4.1, 1.0, 13.7)
(-1.7, 29.6, -12.6);(0.2809562);(-2.7, -7.2, 5.9);(-4.1, 1.0, 13.7)
