(17.1, 37.2, 7.1);(0.6868885);(0.0, -5.2, 0.0);(24.2, 1.0, -20.1)
(17.1, 37.1, 7.1);(0.68413);(-0.2, -5.1, 0.0);(24.2, 1.0, -20.1)
(17.0, 37.0, 7.1);(0.6776348);(-0.4, -5.0, 0.1);(24.2, 1.0, -20.1)
(17.0, 36.9, 7.1);(0.6667652);(-0.6, -4.9, 0.1);(24.2, 1.0, -20.1)
(17.0, 36.8, 7.2);(0.6511482);(-0.8, -4.8, 0.1);(24.2, 1.0, -20.1)
(16.9, 36.8, 7.2);(0.6293115);(-1.0, -4.5, 0.1);(24.2, 1.0, -20.1)
(16.9, 36.7, 7.2);(0.601356);(-1.2, -4.3, 0.0);(24.2, 1.0, -20.1)
(16.8, 36.7, 7.3);(0.5681942);(-1.3, -4.1, -0.2);(24.2, 1.0, -20.1)
(16.7, 36.7, 7.3);(0.5335115);(-1.5, -4.0, -0.6);(24.2, 1.0, -20.1)
(16.7, 36.6, 7.3);(0.4977729);(-1.6, -4.0, -1.0);(24.2, 1.0, -20.1)
(16.6, 36.6, 7.3);(0.4616513);(-1.8, -4.0, -1.5);(24.2, 1.0, -20.1)
(16.5, 36.6, 7.3);(0.4249822);(-1.8, -4.0, -1.9);(24.2, 1.0, -20.1)
(16.4, 36.5, 7.3);(0.3891389);(-1.9, -4.0, -2.4);(24.2, 1.0, -20.1)
(16.4, 36.5, 7.2);(0.3555202);(-1.8, -4.2, -2.9);(24.2, 1.0, -20.1)
(16.3, 36.4, 7.2);(0.3224564);(-1.8, -4.2, -3.4);(24.2, 1.0, -20.1)
(16.2, 36.4, 7.1);(0.2919658);(-1.6, -4.4, -3.8);(24.2, 1.0, -20.1)
(16.1, 36.3, 7.0);(0.2608449);(-1.6, -4.5, -4.3);(24.2, 1.0, -20.1)
(16.1, 36.3, 6.9);(0.229217);(-1.6, -4.5, -4.8);(24.2, 1.0, -20.1)
(16.0, 36.2, 6.8);(0.1980485);(-1.5, -4.7, -5.3);(24.2, 1.0, -20.1)
(15.9, 36.2, 6.7);(0.1677089);(-1.3, -4.8, -5.7);(24.2, 1.0, -20.1)
(15.9, 36.1, 6.6);(0.1386676);(-1.1, -5.0, -6.2);(24.2, 1.0, -20.1)
(15.8, 36.0, 6.4);(0.1108763);(-0.9, -5.2, -6.6);(24.2, 1.0, -20.1)
(15.8, 36.0, 6.3);(0.08414216);(-0.7, -5.4, -7.1);(24.2, 1.0, -20.1)
(15.7, 35.9, 6.1);(0.05713546);(-0.4, -5.5, -7.5);(24.2, 1.0, -20.1)
(15.7, 35.8, 5.9);(0.02975731);(-0.3, -5.7, -7.9);(24.2, 1.0, -20.1)
(15.7, 35.7, 5.8);(0.001207996);(0.0, -5.8, -8.4);(24.2, 1.0, -20.1)
(15.7, 35.6, 5.6);(-0.02869693);(0.2, -6.0, -8.8);(24.2, 1.0, -20.1)
(15.7, 35.6, 5.4);(-0.06075011);(0.4, -6.1, -9.2);(24.2, 1.0, -20.1)
(15.7, 35.5, 5.2);(-0.09323397);(0.5, -6.3, -9.7);(24.2, 1.0, -20.1)
(15.7, 35.4, 5.0);(-0.1288267);(0.7, -6.4, -10.1);(24.2, 1.0, -20.1)
(15.7, 35.3, 4.7);(-0.164592);(0.9, -6.7, -10.5);(24.2, 1.0, -20.1)
(15.7, 35.2, 4.5);(-0.2011463);(1.1, -6.9, -11.0);(24.2, 1.0, -20.1)
(15.7, 35.1, 4.2);(-0.2387424);(1.2, -7.1, -11.4);(24.2, 1.0, -20.1)
(15.7, 35.0, 4.0);(-0.2782021);(1.3, -7.4, -11.9);(24.2, 1.0, -20.1)
(15.7, 34.9, 3.7);(-0.3182459);(1.3, -7.6, -12.4);(24.2, 1.0, -20.1)
(15.7, 34.8, 3.4);(-0.3576654);(1.4, -7.9, -12.8);(24.2, 1.0, -20.1)
(15.6, 34.7, 3.1);(-0.3962462);(1.4, -8.3, -13.3);(24.2, 1.0, -20.1)
(15.6, 34.6, 2.7);(-0.4336919);(1.5, -8.6, -13.7);(24.2, 1.0, -20.1)
(15.6, 34.4, 2.4);(-0.4676924);(1.6, -9.0, -14.1);(24.2, 1.0, -20.1)
(15.6, 34.3, 2.0);(-0.4978652);(1.6, -9.4, -14.5);(24.2, 1.0, -20.1)
(15.6, 34.1, 1.6);(-0.5228378);(1.7, -9.8, -14.9);(24.2, 1.0, -20.1)
(15.6, 33.9, 1.2);(-0.5401796);(1.7, -10.3, -15.3);(24.2, 1.0, -20.1)
(15.6, 33.7, 0.7);(-0.5492879);(1.8, -10.7, -15.7);(24.2, 1.0, -20.1)
(15.6, 33.5, 0.3);(-0.5479948);(1.9, -11.2, -16.0);(24.2, 1.0, -20.1)
(15.6, 33.2, -0.2);(-0.5350337);(2.1, -11.7, -16.4);(24.2, 1.0, -20.1)
(15.7, 32.9, -0.7);(-0.5086885);(2.3, -12.2, -16.7);(24.2, 1.0, -20.1)
(15.7, 32.6, -1.2);(-0.4678513);(2.5, -12.7, -16.9);(24.2, 1.0, -20.1)
(15.8, 32.3, -1.7);(-0.4153702);(2.8, -13.2, -17.1);(24.2, 1.0, -20.1)
(15.9, 32.0, -2.2);(-0.3521208);(3.1, -13.7, -17.2);(24.2, 1.0, -20.1)
(16.0, 31.6, -2.7);(-0.2806675);(3.5, -14.2, -17.3);(24.2, 1.0, -20.1)
(16.2, 31.2, -3.2);(-0.2017589);(3.8, -14.7, -17.3);(24.2, 1.0, -20.1)
(16.4, 30.8, -3.6);(-0.1174597);(4.2, -15.2, -17.2);(24.2, 1.0, -20.1)
(16.6, 30.4, -4.0);(-0.02919727);(4.6, -15.6, -17.1);(24.2, 1.0, -20.1)
(16.8, 29.9, -4.4);(0.06062659);(4.9, -16.0, -17.0);(24.2, 1.0, -20.1)
(17.0, 29.5, -4.8);(0.1502756);(5.3, -16.4, -16.7);(24.2, 1.0, -20.1)
(17.3, 29.0, -5.1);(0.2383008);(5.5, -16.7, -16.5);(24.2, 1.0, -20.1)
(17.5, 28.6, -5.4);(0.322432);(5.8, -17.0, -16.3);(24.2, 1.0, -20.1)
(17.8, 28.2, -5.7);(0.4017279);(6.0, -17.2, -16.0);(24.2, 1.0, -20.1)
(18.0, 27.7, -6.0);(0.4744308);(6.1, -17.5, -15.7);(24.2, 1.0, -20.1)
(18.3, 27.3, -6.2);(0.538874);(6.3, -17.6, -15.4);(24.2, 1.0, -20.1)
