(-19.2, 36.4, 4.0);(0.7730379);(0.0, -5.2, 0.0);(-6.0, 1.0, -19.2)
(-19.2, 36.3, 4.0);(0.772729);(-0.1, -5.3, 0.2);(-6.0, 1.0, -19.2)
(-19.3, 36.1, 4.0);(0.7721118);(-0.2, -5.4, 0.3);(-6.0, 1.0, -19.2)
(-19.3, 36.0, 4.1);(0.7711251);(-0.2, -5.5, 0.5);(-6.0, 1.0, -19.2)
(-19.3, 35.9, 4.1);(0.7700837);(-0.3, -5.5, 0.7);(-6.0, 1.0, -19.2)
(-19.3, 35.8, 4.1);(0.7690707);(-0.3, -5.6, 0.9);(-6.0, 1.0, -19.2)
(-19.4, 35.7, 4.2);(0.7679344);(-0.3, -5.7, 1.1);(-6.0, 1.0, -19.2)
(-19.4, 35.6, 4.3);(0.7664788);(-0.3, -5.8, 1.3);(-6.0, 1.0, -19.2)
(-19.4, 35.5, 4.3);(0.7641871);(-0.3, -5.9, 1.5);(-6.0, 1.0, -19.2)
(-19.4, 35.4, 4.4);(0.7610925);(-0.3, -6.0, 1.7);(-6.0, 1.0, -19.2)
(-19.5, 35.2, 4.5);(0.7571617);(-0.2, -6.1, 1.9);(-6.0, 1.0, -19.2)
(-19.5, 35.1, 4.6);(0.7526351);(-0.1, -6.2, 2.1);(-6.0, 1.0, -19.2)
(-19.5, 35.0, 4.7);(0.746972);(0.0, -6.3, 2.2);(-6.0, 1.0, -19.2)
(-19.5, 34.9, 4.8);(0.7396731);(0.1, -6.4, 2.4);(-6.0, 1.0, -19.2)
(-19.5, 34.8, 4.9);(0.7305878);(0.2, -6.5, 2.6);(-6.0, 1.0, -19.2)
(-19.5, 34.7, 5.1);(0.7192579);(0.4, -6.6, 2.7);(-6.0, 1.0, -19.2)
(-19.5, 34.6, 5.2);(0.7057299);(0.6, -6.6, 2.8);(-6.0, 1.0, -19.2)
(-19.5, 34.4, 5.4);(0.6889314);(0.8, -6.6, 2.8);(-6.0, 1.0, -19.2)
(-19.5, 34.3, 5.5);(0.6688704);(1.0, -6.6, 2.8);(-6.0, 1.0, -19.2)
(-19.5, 34.2, 5.6);(0.6454332);(1.2, -6.6, 2.7);(-6.0, 1.0, -19.2)
