"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","beta","epsilon","gamma","lambd","lambda","learning_rate","learning_rate_schedule","max_steps","network_settings","normalize","strength","summary_freq","Environment/Cumulative Reward","Environment/Episode Length","Environment/Lesson Number/target_size","Is Training","Losses/Policy Loss","Losses/Value Loss","Policy/Beta","Policy/Entropy","Policy/Epsilon","Policy/Extrinsic Reward","Policy/Extrinsic Value Estimate","Policy/Learning Rate"
"2021.03.12_1402_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-12T14:02:29.000Z","9886","w34jrc7s","0.002017155115923536","0.3252208118822636","0.8616537221356232","0.914682871351755","","0.0009381049247144614","","","","","","","-8.878620147705078","126.9275360107422","3","1","0.011761882342398168","0.009039144963026048","0.000010330377335776577","0.23441144824028015","0.10003706812858582","-8.878620147705078","-0.9888810515403748","1.5451205115368793e-7"
"2021.03.12_1113_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-12T11:13:42.000Z","10117","w34jrc7s","0.008275545873388811","0.4122926448567982","0.8054164743304864","0.9315551178154552","","0.000030337687621639984","","","","","","","-10.025906562805176","143.54286193847656","3","1","0.016615500673651695","0.07556703686714172","0.000010957150152535178","1.441351056098938","0.1000361666083336","-10.025906562805176","-0.6494348645210266","3.6130927139055302e-9"
"2021.03.12_0825_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-12T08:25:22.000Z","10094","w34jrc7s","0.008019663603039507","0.3283665374162029","0.8742964438907734","0.923339556019808","","0.0008151369044659723","","","","","","","-8.931595802307129","126.9870147705078","3","1","0.018657078966498375","0.0031804386526346207","0.000011836082194349729","0.862444281578064","0.1000523492693901","-8.931595802307129","-0.8299714922904968","1.869565267043072e-7"
"2021.03.12_0539_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-12T05:39:48.000Z","9928","w34jrc7s","0.005955195023800906","0.11691340717355594","0.8411891642103955","0.9100029330323056","","0.000961034079541238","","","","","","","-9.050858497619627","138.7183074951172","3","1","0.01352108083665371","0.01990068331360817","0.000011031193935195915","1.046264410018921","0.10000293701887132","-9.050858497619627","-0.6426913738250732","1.6679133807429025e-7"
"2021.03.12_0255_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-12T02:55:36.000Z","9846","w34jrc7s","0.009528208208436842","0.2596359508596727","0.8986528018246956","0.9125014403325136","","0.0004230378316682572","","","","","","","-9.061076164245604","130.8000030517578","3","1","0.012302696704864502","0.019079985097050667","0.00001087662712961901","1.4984418153762815","0.10001470148563384","-9.061076164245604","-1.278098225593567","3.906177425960777e-8"
"2021.03.12_0011_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-12T00:11:07.000Z","9864","w34jrc7s","0.003697445164861417","0.22789745257791877","0.9078274344952406","0.9063851415472148","","0.0005214677652426325","","","","","","","-8.87198543548584","125.68571472167967","3","1","0.01235832180827856","0.0094892680644989","0.000010608551747282036","1.0596094131469729","0.1000211089849472","-8.87198543548584","-1.0546518564224243","8.615954527613212e-8"
"2021.03.11_2123_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-11T21:23:22.000Z","10058","w34jrc7s","0.0037993071273770304","0.3339448159920442","0.8995108661613338","0.9111915535500188","","0.0001208993467691159","","","","","","","-8.448944091796875","122.39286041259766","3","1","0.011686762794852257","0.05954651907086373","0.00001039838207361754","1.4497801065444946","0.10002459585666656","-8.448944091796875","-0.9317426681518556","1.2810541072383332e-8"
"2021.03.11_2106_RocketLander","kqbz50o5","finished","This is a test run","jskyscraper","RocketLander","2021-03-11T21:05:56.000Z","73815","w34jrc7s","0.00937189575100662","0.30654030102255525","0.9839324773566354","0.926531274350245","","0.0009807578606278909","","","","","","","-8.765228271484375","137.8732452392578","3","1","0.01867818273603916","0.040065210312604904","0.000011648941836028824","0.6323479413986206","0.1000363752245903","-8.765228271484375","-2.9641478061676025","1.728441390014268e-7"
"2021.03.11_1837_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-11T18:37:07.000Z","9969","w34jrc7s","0.004236201570818268","0.46852725879521306","0.8458685624399541","0.931447089626512","","0.0008294987667954219","","","","","","","-8.907687187194824","123.03704071044922","3","1","0.012864459306001663","0.00813855417072773","0.00001052059724315768","0.20975756645202637","0.10004539787769318","-8.907687187194824","-0.7483372688293457","1.0228040991933085e-7"
"2021.03.11_1543_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-11T15:43:54.000Z","10385","w34jrc7s","0.0023839726297409675","0.19489398175739803","0.8090054776670829","0.930435092168394","","0.00024106037792281536","","","","","","","-9.042323112487791","127.86075592041016","3","1","0.007638231851160526","0.02116968110203743","0.000010307468983228318","1.302435040473938","0.10001228749752045","-9.042323112487791","-0.9265300035476683","3.1321324200916933e-8"
"2021.03.11_1259_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-11T12:59:27.000Z","9859","w34jrc7s","0.004259642745343667","0.39190021782868134","0.930551891249582","0.9405832387792424","","0.0009314671310445492","","","","","","","-8.587722778320312","124.9875030517578","3","1","0.010100230574607847","0.032535307109355927","0.00001101906400435837","0.19093140959739685","0.10006999969482422","-8.587722778320312","-1.356619358062744","2.2346578987253454e-7"
"2021.03.11_1014_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-11T10:14:10.000Z","9908","w34jrc7s","0.00908263050842983","0.3992580717297207","0.9544664574360976","0.9496065526302696","","0.0008555706732656785","","","","","","","-8.773340225219727","125.6794891357422","3","1","0.01480897981673479","0.011704797856509686","0.000011459332199592607","0.6137657165527344","0.10004813224077223","-8.773340225219727","-1.7974932193756104","1.3771852991339986e-7"
"2021.03.11_0729_RocketLander","ujxhqgkd","finished","This is a test run","danrodrigues","RocketLander","2021-03-11T07:29:01.000Z","9900","w34jrc7s","0.007894410590747266","0.38256755847406354","0.8091362189262808","0.9467282042960352","","0.00020659196830670096","","","","","","","-9.094522476196287","130.08749389648438","3","1","0.016905030235648155","0.03267516568303108","0.000010852436389541252","1.5229684114456177","0.10003054887056352","-9.094522476196287","-0.862337052822113","2.2436024593730508e-8"
